Name,Tags,CenterLat,CenterLon,Polygon,Description,ImageUrls,TipoAccesso
Prato Camséit,,46.554122,8.937411,"[[46.55437904247573, 8.937228751587112], [46.55419142257339, 8.937162076549255], [46.55405602316081, 8.937194566586745], [46.55395600330798, 8.937284499114401], [46.553891630701315, 8.937316426297107], [46.55381519058424, 8.937381729016964], [46.55380482589095, 8.937726967507722], [46.55409407709048, 8.937836110144046], [46.55438107067892, 8.937675510042244], [46.55438984469095, 8.93748180040204], [46.55437904247573, 8.937228751587112]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Golenare Nord,,46.567073,8.941048,"[[46.567528156187706, 8.940149656710474], [46.56754406167479, 8.941143412903681], [46.567319633153886, 8.941431806306637], [46.56707332381807, 8.941618575238843], [46.567008594426305, 8.941684119781796], [46.567068764267205, 8.941963580430317], [46.56676708733398, 8.94194678016109], [46.56653002871415, 8.941872851165126], [46.56650116388669, 8.94054204299994], [46.56669826474747, 8.940564350080807], [46.56706208906924, 8.940271407561296], [46.56732314089985, 8.940287070998355], [46.567528156187706, 8.940149656710474]]","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500"", ""https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=500""]",entrambi
Golenare Sud,,46.566016,8.941037,"[[46.56642605016536, 8.94051470461824], [46.566460496504966, 8.941862501498886], [46.56618359093691, 8.941728542251026], [46.56595189098696, 8.941688434581595], [46.56575679182454, 8.941514661693722], [46.56550845921527, 8.941415170015258], [46.565496137456854, 8.94058990260682], [46.565717563985764, 8.940528708372712], [46.56597817133234, 8.940578031036665], [46.566269907970785, 8.940468281623547], [46.56642605016536, 8.94051470461824]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=500"", ""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500""]",entrambi
Saracino 1,,46.563293,8.943461,"[[46.56338410385183, 8.943104972955554], [46.5631370822412, 8.943125104279988], [46.56315225818148, 8.944001335227107], [46.56340762547849, 8.943966252574935], [46.56338410385183, 8.943104972955554]]","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[""https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=500"", ""https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=500""]",entrambi
Saracino 2,,46.563626,8.943600,"[[46.56342831399361, 8.943416940675856], [46.563436945626144, 8.943899130761462], [46.563924137076526, 8.943872262728217], [46.56391327921888, 8.943396225157091], [46.56342831399361, 8.943416940675856]]",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,"[""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Saracino 3,,46.564107,8.943519,"[[46.5641702569976, 8.943078846688424], [46.56390097856384, 8.943240945952903], [46.56394504340334, 8.943375090711724], [46.563958460589234, 8.943914016716395], [46.56419107123876, 8.94401444887314], [46.56441507727535, 8.943929012031575], [46.5641702569976, 8.943078846688424]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=500"", ""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500""]",entrambi
Saracino 5,,46.564704,8.942917,"[[46.564474153686874, 8.942723454509727], [46.56470985927879, 8.943632719290799], [46.564896501031335, 8.943113445952138], [46.56486580728556, 8.942782020813327], [46.564803422825506, 8.942526000927817], [46.564474153686874, 8.942723454509727]]","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[""https://images.unsplash.com/photo-1511497584788-876760111969?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Saracino 4,,46.564432,8.943162,"[[46.564447519160545, 8.942748142484474], [46.56416494417218, 8.942896035147822], [46.56441615729622, 8.943793012735632], [46.56468368705754, 8.943622455593003], [46.564447519160545, 8.942748142484474]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500"", ""https://images.unsplash.com/photo-1494548162494-384bba4ab999?w=500""]",entrambi
Bosco Magana,,46.573064,8.941440,"[[46.572709935048465, 8.940983917722019], [46.573001737689175, 8.94088633770824], [46.57335402709977, 8.941114094837229], [46.57366491612622, 8.941717207959394], [46.573636302522495, 8.942158968944668], [46.57322736702088, 8.942081550695736], [46.5729079133138, 8.941782042690166], [46.57276937450948, 8.941580037035589], [46.57266173194268, 8.941108077738832], [46.572709935048465, 8.940983917722019]]",Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium.,"[""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500"", ""https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=500""]",entrambi
Bosco Tecc Curtin,,46.576571,8.941557,"[[46.575827203397054, 8.941186652080733], [46.57655840874589, 8.941117779189387], [46.57691943322446, 8.941138954938726], [46.577196840869554, 8.941670619531433], [46.577116756352744, 8.941913651465294], [46.576814999018175, 8.942061337373241], [46.576554020506904, 8.942031788107414], [46.576320071395614, 8.941701997316322], [46.575827203397054, 8.941186652080733]]","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","[""https://images.unsplash.com/photo-1511497584788-876760111969?w=500"", ""https://images.unsplash.com/photo-1494548162494-384bba4ab999?w=500""]",entrambi
Escape Room,,46.563994,8.940271,"[[46.56407971548363, 8.940179646292096], [46.56388955736704, 8.940116071394094], [46.56386058815466, 8.940406755707677], [46.56406079492369, 8.940470610520938], [46.56407971548363, 8.940179646292096]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500"", ""https://images.unsplash.com/photo-1511497584788-876760111969?w=500""]",entrambi
Radura Fungo,,46.564730,8.940086,"[[46.564942273730196, 8.939814014571404], [46.56482781332175, 8.939721134794134], [46.564663383158845, 8.939707393578725], [46.564524586857345, 8.93991007702712], [46.56451851526819, 8.940130211609844], [46.56447281985167, 8.94023450530351], [46.56448381610891, 8.940360697869497], [46.56468895994251, 8.940407698699868], [46.56483313108406, 8.940517262885727], [46.56495562160614, 8.940350844720054], [46.564911910428116, 8.940065071305083], [46.564942273730196, 8.939814014571404]]","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","[""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500"", ""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500""]",entrambi
Nedo 1,,46.560102,8.939800,"[[46.56033512408478, 8.939533536978335], [46.5596998231072, 8.93971288171194], [46.559756485697356, 8.940190056174165], [46.56038490867019, 8.940029742482924], [46.56033512408478, 8.939533536978335]]","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","[""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500"", ""https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=500""]",entrambi
Nedo 2,,46.560199,8.940405,"[[46.56038570432518, 8.940057004034813], [46.560437134141246, 8.940520520133255], [46.560331058449655, 8.940591381617878], [46.56029340568305, 8.940676977941322], [46.559800180561915, 8.940709969336275], [46.55976305832111, 8.940223486422777], [46.56038570432518, 8.940057004034813]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500"", ""https://images.unsplash.com/photo-1511497584788-876760111969?w=500""]",entrambi
Nedo 3,,46.560620,8.939574,"[[46.56036810883001, 8.939531875355677], [46.560944561401975, 8.939109260402796], [46.5610119704865, 8.939782386519417], [46.56040515338178, 8.939914294570327], [46.56036810883001, 8.939531875355677]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1511497584788-876760111969?w=500"", ""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500""]",entrambi
Nedo 4,,46.560757,8.940140,"[[46.56101389572924, 8.93983583536758], [46.56105762047977, 8.94030997988507], [46.56057495722884, 8.940403374802802], [46.56046845615489, 8.940499580924321], [46.5604124891578, 8.93995645119389], [46.56101389572924, 8.93983583536758]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=500"", ""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500""]",entrambi
